concept,domain,model,output,judge_verdict,correct
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"In the mixed strategy Nash equilibrium, both Martha and Paul choose their strategies with certain probabilities that make them indifferent between their choices. In this case, Martha has a 1/3 chance of choosing Uptempo and a 2/3 chance of choosing Downbeat, while Paul has a 1/3 chance of choosing Lyrical and a 2/3 chance of choosing Rhythmic. This distribution of probabilities makes both Martha and Paul indifferent between their choices, as they would receive the same expected payoff regardless",0,False
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Two friends preparing for an adventure and deciding what type of equipment to buy.
Strategies:
Joe: Choose between Utility Gear (U) (e.g., multitools, first aid kits) or Durable Gear (D) (e.g., sturdy backpacks, durable boots).
Ben: Choose between Lightweight Items (L) (e.g., compact tents, lightweight sleeping bags) or Rugged Items (R) (e.g., heavy-duty tents, rugged climbing ropes).

If Joe buys utility gear and Ben guys lightweight items, Joe feels security on his trip (+1 point) and Ben does",1,True
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"A and B must divide up a set of 3 apples and 3 bananas. Both prefer the bananas. To make things fair, they decide to each take 1 banana and 1 apple. However, they realize that they could both be happier if they each took 2 bananas and 1 apple. Since they both prefer bananas, it would be better for both of them if they each took 2 bananas and 1 apple. However, they cannot agree on this because it would leave them with fewer apples. Therefore, they decide to stick with the original plan of each ta",-1,False
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"A group of 10 people has the opportunity to put $1 into a multiplying pot which doubles the money a single time. After money is put in the pot, it is pooled, and each person gets one tenth of whatever comes out of the pot. No one puts their money in.
In this scenario, there is no way to make everyone better off without making someone worse off. For example, if one person puts their money in the pot, they will receive more money than if they did not put their money in. However, this will make the",0,False
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"In this scenario, C and D are making a decision about where to go for dinner. C prefers fancy restaurants, while D prefers casual restaurants. C is in charge of making the reservation, but always defaults to choosing fancy restaurants. This situation is not Pareto Optimal because there is a way to make both C and D better off without making either one worse off. If C were to choose a casual restaurant, both C and D would be happier. Therefore, this situation is not Pareto Optimal. To make this s",1,True
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"The lead singer of the band is indifferent between playing large venues and small venues, but the rest of the band prefers small venues. The band's booking agent, who listens to the lead singer's preferences, only books the band to play at large venues. This situation is not Pareto Optimal because there is a way to make at least one person better off without making anyone else worse off. Specifically, if the booking agent were to book the band to play at small venues, the rest of the band would ",1,True
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"In this scenario, there are two groups of people, each with a different preference for tax policy. Group A supports taxing the rich, while Group B supports taxing the poor. Both groups prefer some taxes to no taxes, as it is important to fund the government. However, because the two groups cannot agree on which group should be taxed, no taxes are collected. To make this an instance of Pareto Optimality, we need to find a solution that is better for both groups than the current situation of no ta",1,True
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"An owl and a bat each have the choice between hunting and resting. If both hunt, they both get a reward of +10. If the owl hunts and the bat rests, the owl gets food (+10) but the bat is hungry (-10). If the owl rests and the bat hunts, the bat gets food (+10) but the owl is hungry (-10). If both rest, the owl is hungry (-10) and the bat is happy (+10).

In this game, there is a pure Nash equilibrium where both the owl and the bat choose to rest. If either of them were to deviate from this strat",1,True
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Players: King (Player 1) and Jester (Player 2).
Strategies:
King: Demand Serious Advice or Request Comedy
Jester: Provide Serious Advice or Perform Comedy

If both are in the mood for some serious advice, the king doesn't think that what the jester says is any good and the jester feels like they didn't get a chance to do their job. They both receive -1 points. If the kind wants comedy, but the jester provides serious advice, the king beheads the jester (-10 points to the jester) and the king rem",1,True
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Scenario: Advisor and Postdoc Deciding on a Research Project
Players: Advisor (Player 1) and Postdoc (Player 2).
Strategies:
Advisor: Focus on Theoretical Research or Applied Research
Postdoc: Focus on Theoretical Research or Applied Research

If both want to focus on theoretical research, they publish a boring and incremental paper (-1 point to each). If the advisor wants to focus on theoretical reserach but the postdoc wants to be more applied, the advisor feels dissatisfied with their choice ",-1,False
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Scenario: Two Circus Members Coordinating an Act
Players: Two circus members, Player 1 (Acrobat) and Player 2 (Clown).
Strategies:
Acrobat: Perform a High Dive or Do Nothing
Clown: Prepare the Safety Net or Stay Idle

If the acrobat chooses ""Perform a High Dive"" and the clown chooses ""Prepare the Safety Net"", both bore the audience and neither gains utility (+0 points). If the acrobat chooses ""Perform a High Dive"" and the clown chooses ""Stay Idle"", the audience gets bored by the clown and neithe",1,True
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Scenario: Two Marine Animals Coordinating in the Ocean
Players: Two marine animals, Dolphin and Octopus.
Strategies:
Dolphin: Hunt Together or Hunt Alone
Octopus: Assist the Dolphin or Hide in a Den

If Dolphin chooses ""Hunt Together"" and Octopus chooses ""Assist the Dolphin"", the dolphin is the only one that eats (+1 point) and the octopus has expended energy (-1 point). If the dolphin chooses ""Hunt Together"" and the octopus chooses ""Hide in a Den"", the dolphin finds no food (-1 point) and the o",1,True
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,Strict Dominance.,-1,False
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,I should go to building 45.,-1,False
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,"In this game, I have a strict dominance strategy. No matter what action the computer chooses, I will always have a higher payoff by choosing action A. Therefore, I should always choose action A to maximize my payoff.",1,True
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,"In this modified game of rock-paper-scissors, there is a strict dominance for playing rock. If you play rock, you will always win 4 points, regardless of what Eric plays. Therefore, it is strictly dominated for you to play scissors or paper, as you will never win more points by playing those options. The optimal strategy for you is to always play rock.",1,True
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,"My firm should not advertise, as it will always have a higher payoff by not advertising.",-1,False
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"Bob and Sally are playing a symmetric game. In this game, both players have the same set of options and the payoffs for each option are the same for both players. In this case, both Bob and Sally have two options: write for a computer science audience or write for an economics audience. The payoffs for each option are also the same for both players. If both write for a computer science audience, Bob gets a payoff of +2 and Sally gets a payoff of +1. If both write for an economics audience, Bob g",1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"In this scenario, Alex and Laura are deciding whether or not to study for the upcoming final exam. The class is graded on a curve, and only relative performance matters, and they are the only two students in the class. For both Alex and Laura, studying leads to a raw score of 95/100, not studying leads to a raw score of 50/100. The passing grade in the class is set to be 5 percentage points below the average score in the class. Alex has no intrinsic motivation to learn and derives +1 utility fro",1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"John and Alexa are going out for a first date at Live Alive Cafe. Both of them have two options; they can either dress up or dress down. If one dresses up and the other dresses down, both “players” get a payoff of -10, because they will both feel awkward that the other chose to dress differently. If both dress down, both will get a payoff of +5, since they will both feel comfortable with each other and also wear comfortable clothes. If both dress up, John will get a payoff of +2 and Alexa will g",1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"In this game, Max and Anna are both deciding whether to attend Harvard or MIT for an economics PhD. Both players have the same preferences and utility functions, making this a symmetric game. Max will derive +100 utility from going to MIT and 0 utility from going to Harvard. Anna will also derive +100 utility from being at a different university than Max and -100 utility from being at the same university as him.
```markdown
| Max's Choice | Anna's Choice | Max's Utility | Anna's Utility |
|-----",1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,This is an example of a symmetric game.,-1,False
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm trying to decide whether to have dinner at the Life Alive cafe in Harvard Square, or the Life Alive cafe in Central Square. Both have the same menu, so all I care about is how long the wait will be at the restaurant. I know from experience that there's always a 5 minute wait in the Harvard Square cafe, and that the wait in the Central Square cafe varies between 3 and 10 minutes, depending on where other people choose to eat. If I choose the Central Square cafe, I may have to wait longer than",1,True
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,Going to building 45 is weakly dominant because it has a higher probability of finding the brother compared to going to building 52.,1,True
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"In this game, my action ""A"" weakly dominates my action ""B"".",1,True
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"In the modified rock-paper-scissors game, I should play paper if I want to maximize my expected points.",0,False
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"In the context of Weak Dominance, both firms should advertise.",1,True
Best Response,Game Theory,Qwen2-VL-7B-Instruct,"Alex and Laura are deciding whether or not to study for the upcoming final exam. The class is graded on a curve, and only relative performance matters, and they are the only two students in the class. For both Alex and Laura, studying leads to a raw score of 95/100, not studying leads to a raw score of 50/100. The passing grade in the class is set to be 5 percentage points below the average score in the class. Alex has no intrinsic motivation to learn and derives +1 utility from passing and 0 ut",1,True
Best Response,Game Theory,Qwen2-VL-7B-Instruct,"Bob is working with Sally on a co-authored paper to be submitted to the Economics and Computation (EC) conference. Bob is tasked with writing an introduction, and Sally with writing a conclusion. Both Bob and Sally have two options: they can either write their sections targeting a computer science audience, or targeting an economics audience. They have an imminent deadline, and whatever they write will need to be submitted to EC without any further changes. If one person writes for a computer sc",-1,False
Best Response,Game Theory,Qwen2-VL-7B-Instruct,"John and Alexa are going out for a first date at Live Alive Cafe. Both of them have two options; they can either dress up or dress down. If one dresses up and the other dresses down, both “players” get a payoff of -10, because they will both feel awkward that the other chose to dress differently. If both dress down, both will get a payoff of +5, since they will both feel comfortable with each other and also wear comfortable clothes. If both dress up, both will get a payoff of +2, since they will",-1,False
Best Response,Game Theory,Qwen2-VL-7B-Instruct,"Max and Anna are both deciding whether to attend Harvard or MIT for an economics PhD. Max is obsessed with rankings and will derive +100 utility from going to MIT and 0 utility from going to Harvard. Anna hates Max and his obsessions with rankings and just wants to be at a different university than Max; she’ll get +100 utility from being at a different university than Max and -100 utility from being at the same university as him. Anna goes to Harvard, in response to Max going to MIT.
FINAL ANSWE",0,False
Best Response,Game Theory,Qwen2-VL-7B-Instruct,"Steven and Bob are deciding where to have a snack after a lecture. They can either go to Bakey (close by) or Life Alive (a bit of a walk). As a baseline, both of them get utility +2 for going to the nearby Bakey, compared to -2 for going to the further away Life Alive. There’s an extra complication this time though: Steven has a date. If Steven goes to the same location as Bob, then Bob will get a bonus payoff of +100 from being able to make fun of Steven afterward for something about side-sitti",0,False
Iterated Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm trying to decide whether to have dinner at the Life Alive cafe in Harvard Square, or the Life Alive cafe in Central Square. Both have the same menu, so all I care about is how long the wait will be at the restaurant. I know from experience that there's always a 5 minute wait in the Harvard Square cafe. In the Central Square cafe, there’s a set of 200 customers who always go to some restaurant in Central square (either Life Alive or another restaurant). The wait for me in Life Alive Central S",-1,False
Iterated Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm trying to meet up with my brother in Cambridge, but his phone just died and I cannot reach him. We always meet up in either building 45 or building 52 at MIT, and I know he'll go to one of those buildings right now. I know that he hates building 52 and will never go there unless I make him go there. As for me, right now I just want to find my brother; I don't care what location we end up at. Which building should I go to in order to try and find my brother?",-1,False
Iterated Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm playing a game against a computer where we simultaneously announce ""A"" or ""B"". The payoff matrix of the game is as follows, where the first action in the tuple denotes my action (and the second denotes the computer's action), and the first payoff in the tuple denotes my payoff (and the second denotes the computer's payoff).
Actions (A, A) leads to payoffs (4, 7)
Actions (A, B) leads to payoffs (0, 3)
Actions (B, A) leads to payoffs (2, 2)
Actions (B, B) leads to payoffs (1, 1)

The game does",-1,False
Iterated Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm playing a game of modified rock-paper-scissors with my friend Eric. Instead of the normal rules, points are scored as follows: If one person plays scissors and the other plays rock, then rock wins 10 points and scissors wins 0 points. If one person plays scissors and the other plays paper, then paper wins 1 point and scissors wins 0 points. If both players play scissors, then both players win 0 points. If one person plays rock and the other plays paper, the person playing rock wins 3 points,",0,False
Iterated Dominance,Game Theory,Qwen2-VL-7B-Instruct,"My firm and a competitor firm are deciding whether or not we want to advertise for the cereal we’re selling. If both firms advertise, we both get $30 million dollars in sales. If one firm advertises but the other firm does not, then the company that advertises gets $50 million in sales, and the other company gets no sales. If both firms don’t advertise, then both firms get $10 million dollars in sales. For both firms, cereal costs no money to produce. For my firm, advertising costs $35 million. ",-1,False
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"No, the given strategy combination is not a Mixed Strategy Nash Equilibrium.",1,True
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"No, the following is not a mixed strategy Nash equilibrium.",1,True
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Players: Two friends trying to decide how to spend their weekend.
Strategies:
Manu:
Hiking
Movie Night
Tom:
Beach Day
Board Games

If Manu wants to hike and Tom goes for the beach day, it rains and neither has fun (-1 point to each). If Manu wants to hike and Tom wants to play board games, Manu feels like Tom is boring (-10 points to Manu) and Tom has a very boring day (+0 points). If Manu wants to have a movie night and Tom wants to go to the beach, Manu's movie falls flat (+0 ponts to her) and",-1,False
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"The setting is that two band members deciding on the style of their next song.

Martha chooses between Uptempo (e.g., fast-paced, energetic song) or Downbeat (e.g., slow, moody ballad).
Paul chooses between Lyrical (e.g., focus on poetic, meaningful lyrics) or Rhythmic (e.g., focus on groove and beats).

An uptempo and lyrical song would thrill Martha (+1 point) but disappoint Paul (-1 point). A downbeat and lyrical song would disappoint Martha (-1 point) but thrill Paul (+1 point). An uptempo b",-1,False
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Two friends trying to pick a snack to share while watching a movie.
Strategies:
Kevin:
Chips
Popcorn
Claire:
Chocolate
Candy

If Kevin chooses chips and Claire chooses chocolate, both get stomache aches (-1 point to each). If Kevin chooses chips and Claire chooses candy, Kevin gets really jealous of Claire's candy (-10 points) and Claire feels unhealthy (-1 point). If Kevin chooses popcorn and Claire chooses chocolate, Claire gets really jealous because Kevin's popcorn smells so good (-10 points",-1,False
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,A and B must divide up a set of 3 apples and 3 bananas. Both prefer the bananas. They decide on the allocation 1 banana and 2 apples for A; 2 bananas and 1 apple to B.,-1,False
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"A group of 10 people has the opportunity to put $1 into a pot, but the pot does not multiply the money. Each person gets out the same amount of money they put in.",1,True
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"C slightly prefers fancy restaurants to casual restaurants, but her partner D strongly prefers casual restaurants. C is in charge of making reservations so they sometimes eat at fancy restaurants and sometimes eat at casual restaurants.
FINAL ANSWER:",0,False
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"The lead singer of a band prefers large venues to small venues; but everyone else in the band prefers small venues. The band's booking agent listens to the lead singer, so they only play large venues, but the band members are unhappy with the decision.",-1,False
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,"Two thirds of the country supports a policy to tax the rich. One third of the country supports a policy to tax the poor. Everyone prefers some taxes to no taxes, because it's important to fund the government. The first group has lobbying power and so their preferred policy is enacted.",-1,False
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"An owl and a bat each have the choice between hunting and resting. If both hunt, they both get a reward of +10. If the owl hunts and the bat rests, the owl gets food (+10) but the bat is hungry (-10). If the owl rests and the bat hunts, the bat gets food (+10) but the owl is hungry (-10). If both rest, neither gets any reward.

In this scenario, there is no pure Nash equilibrium. A pure Nash equilibrium occurs when each player has a single best response to the other player's strategy. In this ex",-1,False
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Players: Two dogs, Player 1 (Dog A) and Player 2 (Dog B). Strategies:
Dog A: Fetch or Stay
Dog B: Chase or Rest. 

If Dog A chooses ""Fetch"" and Dog B chooses ""Chase"", the dogs are playing different games and derive no utility from one another (+0 points). If Dog A chooses ""Fetch"" and Dog B chooses ""Rest"", the dogs are playing different games and derive no utility from one another (+0 points). If Dog A chooses ""Stay"" and Dog B chooses ""Chase"", the dogs are playing different games and derive no ut",0,False
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Players: Two members of an angry couple, Player 1 (Person A) and Player 2 (Person B).
Strategies:
Person A: Apologize or Stay Silent
Person B: Forgive or Stay Angry

If Person A chooses ""Apologize"" and Person B chooses ""Forgive"", both are taking healthy actions towards recovery (+1 point to each). If Person A chooses ""Apologize"" and Person B chooses ""Stay Angry"", Person B feels some self-satisfaction (+1 point) but Person A feels frustrated that they are the only mature one in the relationship (",-1,False
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"Scenario: Artist and Agent Deciding on a Career Strategy
Players: Artist (Player 1) and Agent (Player 2).
Strategies:
Artist: Focus on Commercial Work or Personal Projects
Agent: Promote Commercial Work or Personal Projects

If both want to focus on commercial work, they output something pop-y and garbage. No one really likes it (-1 point to each). If the artist wants to be commercial but the agent wants to support their personal projects, the artist feels extremely frustrated with their choice ",-1,False
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"No, the scenario described is not an instance of a Pure Nash Equilibrium.",1,True
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm trying to decide whether to have dinner at the Life Alive cafe in Harvard Square, or the Life Alive cafe in Central Square. Both have the same menu, so all I care about is how long the wait will be at the restaurant. I know from experience that the wait in the Harvard Square cafe is usually shorter than in the Central Square cafe, but I'm not sure by how much. Which location should I go to?",1,True
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,I should go to building 45.,-1,False
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm playing a game against a computer where we simultaneously announce ""X"" or ""Y"". The payoff matrix of the game is as follows, where the first action in the tuple denotes my action (and the second denotes the computer's action), and the first payoff in the tuple denotes my payoff (and the second denotes the computer's payoff).
Actions (X, X) leads to payoffs (5, 6)
Actions (X, Y) leads to payoffs (1, 4)
Actions (Y, X) leads to payoffs (3, 2)
Actions (Y, Y) leads to payoffs (0, 0)
FINAL ANSWER:",-1,False
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm playing a modified game of rock-paper-scissors with my friend Eric. Instead of the normal rules, points are scored as follows: If one person plays scissors and the other plays rock, then rock wins 10 points and scissors wins 0 points. If one person plays scissors and the other plays paper, then paper wins 1 point and scissors wins 0 points. If both players play scissors, then both players win 0 points. If one person plays rock and the other plays paper, the person playing rock wins 3 points,",1,True
Strict Dominance,Game Theory,Qwen2-VL-7B-Instruct,"My firm and a competitor firm are deciding whether or not we want to advertise for the cereal we’re selling. Regardless of how much advertising is done, consumers will purchase a total of $50 million dollars of cereal in total (summed up across my firm and the competitor firm). If neither firm or both firms advertise, this $50 million is split evenly and both firms have $25 million in sales. If one firm advertises but the other firm does not, then the company that advertises gets all $50 million",-1,False
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"Bob and Sally are working on a co-authored paper to be submitted to the Economics and Computation (EC) conference. Bob is tasked with writing an introduction, and Sally with writing a conclusion. Both Bob and Sally have two options: they can either write their sections targeting a computer science audience, or targeting an economics audience. They have an imminent deadline, and whatever they write will need to be submitted to EC without any further changes. If one person writes for a computer sc",1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,The game is not an instance of a symmetric game because the utility functions of Alex and Laura are different.,1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"John and Alexa are going out for a first date at Live Alive Cafe. Both of them have two options; they can either dress up or dress down. If one dresses up and the other dresses down, both “players” get a payoff of -10, because they will both feel awkward that the other chose to dress differently. If both dress down, both will get a payoff of +5, since they will both feel comfortable with each other and also wear comfortable clothes. If both dress up, both will get a payoff of +2, since they will",1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"Max and Anna are both deciding whether to attend Harvard or MIT for an economics PhD. Max is interested in attending MIT and will derive +100 utility from going there, while Anna is interested in attending Harvard and will derive +100 utility from going there. Both students are making their decisions independently of each other.
FINAL ANSWER:",0,False
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,This is not an instance of a symmetric game.,-1,False
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm trying to decide whether to have dinner at the Life Alive cafe in Harvard Square, or the Life Alive cafe in Central Square. Both have the same menu, so all I care about is how long the wait will be at the restaurant. I know from experience that the wait in the Harvard Square cafe is always 5 minutes, while the wait in the Central Square cafe varies between 5 and 10 minutes, depending on where other people choose to eat. Which location should I go to?",-1,False
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm trying to meet up with my brother in Cambridge, but his phone just died and I cannot reach him. We always meet up in either building 45 or building 52 at MIT, and I know he'll go to one of those buildings right now. For any fixed building that I go to, I’d prefer to see my brother there than to not see him there. However, I am indifferent between being alone in building 52 and being with my brother in building 52. Which building should I go to?",-1,False
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm playing a game against a computer where we simultaneously announce ""A"" or ""B"". The payoff matrix of the game is as follows, where the first action in the tuple denotes my action (and the second denotes the computer's action), and the first payoff in the tuple denotes my payoff (and the second denotes the computer's payoff).
Actions (A, A) leads to payoffs (4, 7)
Actions (A, B) leads to payoffs (0, 3)
Actions (B, A) leads to payoffs (2, 2)
Actions (B, B) leads to payoffs (0, 1)

The game does",1,True
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"I'm playing a game of modified rock-paper-scissors with my friend Eric. Instead of the normal rules, points are scored as follows: If at least one of us plays scissors, then we both get 0 points. If one person plays rock and the other plays paper, the person playing rock wins 3 points, and the person playing paper wins 2 points. If we both play rock, we both win 4 points. If we both play paper, we both win 1 point. What strategy should I play?",-1,False
Weak Dominance,Game Theory,Qwen2-VL-7B-Instruct,"My firm and a competitor firm are deciding whether or not we want to advertise for the cereal we’re selling. If both firms advertise, we both get $30 million dollars in sales. If one firm advertises but the other firm does not, then the company that advertises gets $50 million in sales, and the other company gets no sales. If both firms don’t advertise, then both firms get $10 million dollars in sales. For both firms, cereal costs no money to produce, and advertising costs $30 million. Should my",-1,False
Accismus,Literary Techniques,Qwen2-VL-7B-Instruct,I do accept your favorite suede jacket— you wear it every day! It's a staple item for you!,1,True
Accismus,Literary Techniques,Qwen2-VL-7B-Instruct,"I dare step into the light of graciousness, not little old me. It must be.",0,False
Accismus,Literary Techniques,Qwen2-VL-7B-Instruct,"Thank you, but I'm sorry.",1,True
Accismus,Literary Techniques,Qwen2-VL-7B-Instruct,You're such a jerk.,-1,False
Anacoluthon,Literary Techniques,Qwen2-VL-7B-Instruct,A classic example would be from literature.,1,True
Anacoluthon,Literary Techniques,Qwen2-VL-7B-Instruct,"At the same time, interrupting a conversation.",1,True
Anacoluthon,Literary Techniques,Qwen2-VL-7B-Instruct,"I can walk to the store and buy some groceries, which is so funny.",-1,False
Anacoluthon,Literary Techniques,Qwen2-VL-7B-Instruct,"When I was working at the store, I had to be perfectly honest.",-1,False
Anacoluthon,Literary Techniques,Qwen2-VL-7B-Instruct,"The main thing: a diet keeps us healthy.

Anacoluthon is a rhetorical device that involves the abrupt interruption of a sentence or phrase, creating a sense of surprise or emphasis. In this case, the sentence ""The main thing: a _ keeps us healthy"" is incomplete, and the blank needs to be filled in to complete the sentence. The word ""diet"" is a suitable replacement for the blank because it is a common factor that contributes to good health.",1,True
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,Flight attendants are always known for getting,1,True
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,Going to the doctor is like going to the doctor for an apple for breakfast.,-1,False
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,The baseball players resemble troops in extreme conditions.,1,True
Analogy,Literary Techniques,Qwen2-VL-7B-Instruct,gymnasts are to the ninth element of the periodic table as humans are to carbon.,1,True
Anapest,Literary Techniques,Qwen2-VL-7B-Instruct,"Further, the anapest is a metrical foot in poetry consisting of two unstressed syllables followed by a stressed syllable.",1,True
