concept,domain,model,definition,judge_verdict,correct
Pure Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"A Pure Nash Equilibrium is a stable state of a game where each player has chosen a strategy, and no player can benefit by changing their strategy while the other players keep theirs unchanged.",1,True
Mixed Strategy Nash Equilibrium,Game Theory,Qwen2-VL-7B-Instruct,"A Mixed Strategy Nash Equilibrium is a situation in which each player is choosing a mixed strategy, and no player has an incentive to change their mixed strategy, given the mixed strategies chosen by the other players.",1,True
Pareto Optimality,Game Theory,Qwen2-VL-7B-Instruct,Pareto Optimality is a concept in economics and decision-making that refers to a situation where it is impossible to make one individual or group better off without making at least one other individual or group worse off.,1,True
Best Response,Game Theory,Qwen2-VL-7B-Instruct,"The concept of ""best response"" refers to the optimal or most effective action or decision that a player can take in a game or situation, determined by the available options and the goals of the player.",1,True
Zero-Sum Game,Game Theory,Qwen2-VL-7B-Instruct,"A zero-sum game is a situation in which the total gains of one participant are exactly balanced by the losses of the other participant(s), and the sum of all participants' gains and losses is always zero.",1,True
Symmetric Game,Game Theory,Qwen2-VL-7B-Instruct,"A symmetric game is a game in which the payoffs for each player are the same regardless of which player is considered, and the game's structure and rules are identical for all players.",1,True
Saddle Point,Game Theory,Qwen2-VL-7B-Instruct,"Step 1: Understand the concept of a saddle point.
A saddle point is a point in a function's graph where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 2: Consider the definition of a saddle point in the context of a function of two variables.
In the context of a function of two variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 3: Consider the definition of a saddle point in the context of a function of three variables.
In the context of a function of three variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 4: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 5: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 6: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 7: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 8: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 9: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 10: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 11: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 12: Consider the definition of a saddle point in the context of a function of n variables.
In the context of a function of n variables, a saddle point is a point where the function has a local minimum in one direction and a local maximum in another direction. This means that if you were to draw a contour map of the function, the saddle point would be a point where the contour lines form a saddle shape.

Step 1",1,True
Catastrophizing,Psychological Biases,Qwen2-VL-7B-Instruct,"Catastrophizing is the tendency to overestimate the negative impact of a situation and to underestimate the ability to cope with it, often leading to increased anxiety and stress.",1,True
Personalization,Psychological Biases,Qwen2-VL-7B-Instruct,"Personalization is the process of customizing information, experiences, or products to meet the specific needs, preferences, or characteristics of an individual or group, using data and analytics to understand and tailor to these specific characteristics.",1,True
Labeling (Overgeneralization),Psychological Biases,Qwen2-VL-7B-Instruct,"Labeling, or overgeneralization, is the process of making broad and often inaccurate generalizations about a group or category based on limited or incomplete information, leading to stereotyping and the assignment of negative traits or characteristics to all members of that group.",1,True
Status Quo Bias,Psychological Biases,Qwen2-VL-7B-Instruct,"Status Quo Bias is a cognitive bias where individuals tend to prefer maintaining the current state of affairs over making changes, even when the changes would be beneficial.",1,True
Sunk Cost Fallacy,Psychological Biases,Qwen2-VL-7B-Instruct,"The Sunk Cost Fallacy is the cognitive bias where individuals continue to invest resources into a course of action despite recognizing that the outcome is unlikely to be favorable, due to the mistaken belief that past investments should influence future decisions.",1,True
Overconfidence,Psychological Biases,Qwen2-VL-7B-Instruct,"Overconfidence is the exaggerated belief in one's abilities, knowledge, or the accuracy of their judgments, which can lead to overestimation of performance or outcomes and poor decision-making.",1,True
Mental Filtering (Disqualifying the Positive),Psychological Biases,Qwen2-VL-7B-Instruct,"Mental Filtering (Disqualifying the Positive) is a cognitive bias where individuals focus on and remember negative experiences or aspects of a situation while ignoring or downplaying positive ones, leading to an overly pessimistic or negative perception.",1,True
Confirmation Bias,Psychological Biases,Qwen2-VL-7B-Instruct,"Confirmation bias is the tendency to favor information that confirms one's preconceptions or hypotheses while disregarding or discounting information that contradicts them, leading to selective exposure, interpretation, and recall of information that reinforces existing beliefs.",1,True
Mind Reading,Psychological Biases,Qwen2-VL-7B-Instruct,"Mind reading refers to the ability to understand or perceive the thoughts, feelings, or intentions of another person without them explicitly expressing them through words or actions. This concept is often associated with the idea of telepathy or clairvoyance, which are not scientifically proven abilities. Mind reading can be a useful skill in various contexts, such as in psychology, where it is used to understand a patient's thoughts and feelings, or in communication, where it can help in interpreting non-verbal cues. However, it is important to note that mind reading is not a reliable or accurate method of communication and should not be relied upon as a primary means of understanding others.",1,True
Anchoring Bias,Psychological Biases,Qwen2-VL-7B-Instruct,"Anchoring bias is a cognitive bias where people rely too heavily on the first piece of information they encounter when making decisions or judgments, leading to decisions that are not based on the best available information.",1,True
Fundamental Attribution Error,Psychological Biases,Qwen2-VL-7B-Instruct,The Fundamental Attribution Error is a cognitive bias where individuals tend to overestimate the role of personality traits and underestimate the role of situational factors in explaining the behavior of others.,1,True
Demanding Bias,Psychological Biases,Qwen2-VL-7B-Instruct,"Demanding bias refers to the practice of intentionally seeking out information or perspectives that confirm one's pre-existing beliefs or biases, while ignoring or dismissing information that contradicts those beliefs. This can lead to a narrow and distorted understanding of a topic or issue, as well as a failure to consider alternative viewpoints or evidence. Demanding bias can be a form of confirmation bias, where individuals seek out information that supports their existing beliefs and avoid information that challenges those beliefs. It can also be a form of selective exposure bias, where individuals seek out information that aligns with their existing beliefs and avoid information that contradicts those beliefs. Demanding bias can be harmful in a democratic society, as it can lead to the suppression of diverse opinions and the reinforcement of harmful stereotypes and prejudices.",1,True
Black and White Thinking,Psychological Biases,Qwen2-VL-7B-Instruct,"Black and White Thinking is a cognitive bias characterized by the tendency to view situations and people in extreme terms, often simplifying complex issues into binary categories without considering the nuances or shades of gray. This type of thinking can lead to oversimplified conclusions and may result in overlooking important details or alternative perspectives.",1,True
IKEA Effect,Psychological Biases,Qwen2-VL-7B-Instruct,"The IKEA Effect is a psychological phenomenon where people tend to overvalue objects they have assembled themselves, often due to a sense of personal accomplishment and pride in their work.",1,True
Pseudocertainty Effect,Psychological Biases,Qwen2-VL-7B-Instruct,"The Pseudocertainty Effect is a cognitive bias where individuals overestimate the accuracy of their own judgments or predictions, even when they have no evidence to support their confidence, due to a reliance on personal experiences and intuitions.",1,True
Endowment Effect,Psychological Biases,Qwen2-VL-7B-Instruct,"The endowment effect is a psychological phenomenon where people value items they own more highly than similar items they do not own, often due to a sense of attachment or ownership, which can influence decision-making and lead to irrational choices.",1,True
Naive Cynicism,Psychological Biases,Qwen2-VL-7B-Instruct,"Naive Cynicism is a belief or attitude that is overly skeptical or pessimistic, often without a basis in reality or evidence, involving a lack of trust in people or institutions and a tendency to assume the worst in situations or interactions.",1,True
Normalcy Bias,Psychological Biases,Qwen2-VL-7B-Instruct,"Normalcy bias is a psychological phenomenon where people tend to underestimate the likelihood of a disaster or crisis occurring because they are accustomed to living in a state of relative safety and stability. This bias can lead individuals to ignore or downplay the potential risks associated with certain situations, such as natural disasters, pandemics, or other catastrophic events. It is often characterized by a belief that ""nothing bad will happen to me"" or ""it won't happen here,"" which can result in inadequate preparation and response to potential threats.",1,True
Spotlight Effect,Psychological Biases,Qwen2-VL-7B-Instruct,"The Spotlight Effect is a psychological phenomenon where individuals tend to overestimate the amount of attention and focus others are paying to them, leading to feelings of being constantly observed or judged, even in situations where there is no evidence of such attention.",1,True
Illusory Superiority,Psychological Biases,Qwen2-VL-7B-Instruct,"Illusory Superiority is the overestimation of one's abilities, skills, or knowledge compared to others, often accompanied by a lack of awareness of one's true abilities or limitations, leading to inflated self-esteem and potential consequences in various domains.",1,True
