concept,domain,model,definition,judge_verdict,correct
Overconfidence,Psychological Biases,Qwen2.5-7B-Instruct,"Overconfidence is a psychological state characterized by an excessive belief in one's own abilities, knowledge, or judgment, which often results in an inflated self-assessment that surpasses reality. This condition can lead to poor decision-making, misjudgment of risks, and social isolation, and is influenced by cognitive biases, social pressures, and personal traits.",1,True
Mental Filtering (Disqualifying the Positive),Psychological Biases,Qwen2.5-7B-Instruct,"Mental filtering, or disqualifying the positive, is a cognitive distortion characterized by the tendency to concentrate solely on negative aspects of experiences while disregarding or undervaluing any positive elements.",1,True
Confirmation Bias,Psychological Biases,Qwen2.5-7B-Instruct,"Confirmation bias is a cognitive bias where individuals disproportionately favor information that aligns with their preexisting beliefs or hypotheses, often at the expense of considering or evaluating contradictory evidence.",1,True
Mind Reading,Psychological Biases,Qwen2.5-7B-Instruct,"Mind reading is the hypothetical or fictional ability to understand or interpret another person's thoughts without them consciously expressing those thoughts, either verbally or through actions. It is often depicted in literature, media, and sometimes used metaphorically to describe someone who is exceptionally perceptive.",1,True
Anchoring Bias,Psychological Biases,Qwen2.5-7B-Instruct,"Anchoring bias is a cognitive bias where individuals give undue weight to the first piece of information they encounter (the ""anchor"") when making decisions or forming judgments, potentially leading to inaccurate conclusions due to insufficient adjustment from the initial information.",1,True
Fundamental Attribution Error,Psychological Biases,Qwen2.5-7B-Instruct,"The Fundamental Attribution Error is a cognitive bias where individuals tend to attribute others' behavior primarily to internal characteristics (such as personality traits) rather than to external situational factors, leading to overestimating personal responsibility and underestimating environmental influences in explaining actions.",1,True
Demanding Bias,Psychological Biases,Qwen2.5-7B-Instruct,"A demanding bias is a cognitive bias characterized by stringent criteria or conditions that must be met for its application to be valid, ensuring that it is not casually or inaccurately invoked, thus maintaining a higher standard of fairness and accuracy in judgment or decision-making.",-1,False
Black and White Thinking,Psychological Biases,Qwen2.5-7B-Instruct,"Black and white thinking is a cognitive bias characterized by viewing situations as having only two possible outcomes—extremely good or extremely bad—and failing to recognize the range of possibilities between these extremes. This type of thinking simplifies complex situations into overly simplistic ""all-or-nothing"" categories, often leading to distorted perceptions and emotional reactions.",1,True
IKEA Effect,Psychological Biases,Qwen2.5-7B-Instruct,"The IKEA Effect is a psychological phenomenon where individuals assign greater value to items they have helped create or assemble themselves, often due to the increased emotional connection and personal effort involved, beyond the objective quality of the item.",1,True
Pseudocertainty Effect,Psychological Biases,Qwen2.5-7B-Instruct,"The pseudocertainty effect is a behavioral economic principle that describes the tendency of individuals to favor certain outcomes over uncertain ones, even when the uncertain option offers a higher expected value, reflecting a preference for known outcomes over risks.",1,True
Endowment Effect,Psychological Biases,Qwen2.5-7B-Instruct,"The endowment effect is a cognitive bias characterized by an increased valuation of goods or services due to personal ownership, often resulting in irrational decisions in economic transactions.",1,True
Naive Cynicism,Psychological Biases,Qwen2.5-7B-Instruct,"Naive cynicism is a perspective held by an inexperienced or unsophisticated person who maintains a skeptical and distrustful view of others or society, often without the necessary knowledge or evidence to support such a viewpoint.",1,True
Normalcy Bias,Psychological Biases,Qwen2.5-7B-Instruct,"Normalcy bias is a psychological phenomenon where individuals tend to underestimate the probability and impact of potential disasters or crises due to their expectation that the future will resemble the past. This bias can result in insufficient preparation and response to unexpected events, affecting personal and collective safety.",1,True
Spotlight Effect,Psychological Biases,Qwen2.5-7B-Instruct,"The Spotlight Effect is a cognitive bias where individuals overestimate how much they are noticed and judged by others in various social situations, leading to heightened self-consciousness and sometimes anxiety.",1,True
Illusory Superiority,Psychological Biases,Qwen2.5-7B-Instruct,"Illusory superiority is a cognitive bias characterized by an individual's tendency to overestimate their own positive qualities or abilities relative to others, often leading to a distorted self-perception that is not aligned with objective measures of performance or ability.",1,True
